S.No,Review,Rating ,Car
92,                                        Hello everyone today I am going to review about the Honda city 2017. This modal is no as good as old one I like the old dolphin modal. Which is one of my favourite one but as compared to that this modal is not as good as it. The look wise also the one one is the best one. There are different vie...,1,3
93,                                        Honda City petrol is a good car to drive.It is one the most spacious cars in it's segment.The engine is pretty refined and CVT transmission is also butter smooth.Under hard acceleration the gearbox take time to respond.The mileage is around 10-12kmpl in city and around 15 kmpl on highway.The...,3,3
94,"                                        Hello friends., I don't know about the now that still manufacturing about honda city zx model is still available but I like to share to the it is my dream car ever and I like to be buy this car because of this looks and colour .and the looks like royal car .i would you like to say that the this ...",5,3
95,                                        If any one is thinking about buying this car read this review to know moreHonda has given a best product in a good price.Honda city is one of my favourite cars.It is a design vision that echoes the city's blue blooded sedan charm.A look that adds panache and exhilaration to the game.It is an...,4,3
96,                                        Just started to use city about 1 year .has super specfications and other accesories.superb service from honda showroom.mileage is better and if ur gear shifts are perfect you can get more than 23.the problem I felt is the city has some engine noise when compared to other one.brakes and abs are p...,4,3
97,                                        Warning: Pathetic car when it comes to mileage. The average in city roads is close to 9 kmpl and Honda claims it to be 18kmpl under test conditions. You should go for a Verna instead.Even high end cars like Audi or BMW gives a better mileage. Honda after sales service is also hopeless and co...,1,3
98,                                        Hello guys you have seen the honda city car many times and if you are planning to have buy a car at this price so you could buy it because it is an amazing car for younsters I have used this car three to five times till date as my uncle have this car .Honestly I am telling you guys this is a...,3,3
99,"                                        Honda City is a good and nice sedan model car. Its lexuorious comfort is the attractive point.its has many varients like v, vx, s, sv, zxZx show room price is 13.33 lakhs.Engine; 4cyl, 1199ccGearbox: 5MPower( BHP) :98.6Torque: 200Airbags: 4Alloy wheels: 16inch diamond...",3,3
100,"                                        If you are the one who is sitting in the backseat and travelling all day long this is your vehicle. The Honda City zx has manual as well as automatic CVT . The legroom of this vehicle is huge , u get lots of place to stretch your feet. Not only that the car is feature loaded with led DRLs, sunro...",3,3
101,"                                        Honda city is a great car look like a racing car I love shark sign on honda city I want to buy but I not an enough money to buy it his comfort get an excellent car so it is a greatest in low price thanks for made this type of car to honda please tell me more feautures I compare to be verna , cia...",3,3
102,                                        Honda city is a beautiful carleg room given in the car is more than sufficientdealer are also providing the best servicesmileage is best according to carone of the most comfort car in the worldability of pickup is the bestcity is the dream car of todays youth,2,3
103,"                                        I bought this baby 2 months back and extremely happy with the performance and look. As I upgraded from I20 there is lot of leg room and mileage is also ok, but it can be better. Dealing with the dealer in Chennai was also comfortable. Love it especially for long drives and you will not feel the ...",4,3
104,                                        New 2017 honda city is a very good car it offers you with new cool features and also with new shape and design comparatively to other c segment car honda city is good.its performance is awesome really.1) The honda offers you the new 1.5 i-dect engine in new honda city.2) The mileage of this car ...,4,3
105,"                                        The name speaks for itself. This car has got all what you need from a car in this segment. it feels luxurious to drive.The exterior looks stunning and upmarket with Honda's H shaped design. The interior looks quite modern too. Cabin is airy, Dashboard looks attractive, Touch panels for air c...",5,3
106,                                        About five years ago I started riding Honda city. Since that time I found it very good and even a comforable car at a very low budget. You will never find any car like this at this budget. Having good passenger capacity it does allow to carry alot of luggage with you. It also have good running a...,4,3
107,                                        Honda city I love this car.this car desh bar are excillent.There Average are good. Honda city are a flate car . ane you know flat car almost people like. A head light and front light are aewsome . serice wise side light are good ideas . When the honda city are more run cut to the acceries. there...,3,3
108,"                                        Honda changed its design in 2009 and same design was repeated till 2014.Big companies like Honda keeps the same design for most 4 years and than change the design, appearance, lights, cc, features of the car and make an upgrade.But the opposite happens with this car, its 2018 and same design sti...",1,3
109,                                        Hallo my dear friends A good news for all of you .The prize of Honda city 2017 is not more so every person now can choose this Vehicle in very simple wayHonda City price starts at ₹ 8.85 Lakhs and goes upto ₹ 14.03 Lakhs. Petrol City price starts at ₹ 8.85 Lakhs. Diesel City price starts at ₹ 11...,3,3
110,                                        Today I am going to share my experience about Honda city 2017. I have drived it recently and I am going to share about it.Specifications and Features:1) The car looks attractive and well designed.2) The gar gives mileage 17.4 kmpl. Mileage wise the car is good.3) Passenger and drivers are very c...,4,3
111,"                                        The leg room int the car honda city is really great and comfortable. It has many specification and a good touch up to the interiors, which gives it a unique look from the other cars. Many people prefer a good leg room while travelling far long distances. I have driven many other cars but when it...",5,3
112,                                        This car is just amazing looks interior every single thing even the base model is very much cool and I like it very much please do buy this car I have bought it from navi mumbai panvel showroom the car is just lit music system each n every single thing of the car is nice mileage performance is a...,3,3
113,                                        The sleekest car of all time. This car has a very good inferior designs. The car itsekf looks very good. Must appreciated. I like the way the car is deigned. It is very comfortable. Sleek design. Very good performance. Goes very fast. Mileage is very affordable. Diesel vehicle. Very very very co...,4,3
114,"                                        Spacious it has 4 air bags, good pick up, good interior design actually the best for one who are searching below the price of 10 lackh.it has automatic garing system.works good on bad roads but on highways it makes you feel on the the 7 th sky.its awesome for families and to hike out with friend...",3,3
115,                                        Honda city is a perfect sedan car its one of the most sedan car which looks sporty sedan.when I take the review of honda city 2017 at honda showroom its interior and exterior looks massif .Its drive is soo smooth its handling is just perfect.Now we talk about its milage so it takes 13 to 14 kilo...,4,3
116,                                        Hello guys I will share my experience with honda city in my opinion honda city is good car with this price it has good pick up and comfortable in short drives but in my opinion if you able to arrange some more money than honda civic is best option because in comparison with honda city honda civi...,3,3
117,                                        We are searching our second car. Firstly I m looking for Volkswogen polo gt but my friend suggest me to just check the honda city after that you decide and when I saw the car its totally amazing. Even my whole family like it every much.Guys just go and check the comort and luxury of this car...,4,3
118,"                                        Hi I wont to tell you that this is a best choice.Originally made for the Japanese, European and Australasian markets, the subcompact City 3-door hatchback was retired in 1994 after the second generation. The nameplate was revived in 1996 for use on a series of compact four-door sedans aimed prim...",5,3
119,                                        If you are looking for the best car under 10 lac then Honda City is a perfect choice. It's the most stylish car ever. I bought this car in December 2017 and overall my experience with Honda has been great. 10 on 10. I would just recommend you to buy only In Petrol. Don't go for Honda City Diesel...,5,3
120,"                                        NISSAN SUNNY one of the most classical and offical car of the year.The car looks really awesome and I Nissan sunny.I used this car for 5 years and it really works well.I never had any problems in last 5 yeas realted to my car.I love the looks and the engine is really awesome.The accelaration, sp...",3,2
121,"                                        Hi friends in this review I am going to share my personal experience with Nissan sunny car, it is amazing carin this car very good leg room we can go only with authorized dealer for any specific problem with this carI found very well dealer satisfaction every timewhen we talk about m...",5,2
122,                                        I not seen this car ever. This is the dirty car. I am not satisfied by this car. I used this car since 2010.Recently I sold this car in 2016. On that day it not have bluetooth connection also. The car is very big but we cannot use in villages. It can be used only in cities and towns. I am reques...,1,2
123,"                                        Iam used this nissan sunny car for couple of months. Iam sharing that experiences. The main problem is with mileage. They tell that 18km is the mileage, but we get only 13 to 15. When we are using this again decreased. And the other problem is that the spacing in the car is low. We can't get a c...",1,2
124,                                        I bought a nissan sunny from sterling nissan and after sale service is very pathetic.Compony sale people start with stories immediately after the car is sold. My car has been given to me without car wash and proper cleaning after every service waiting 3-4 hours in service center.there is...,1,2
125,                                        Hi guysI have rode this NISSAN SUNNY VX for a month and found several things about this car which I am going to share with you all so you all not get cheated.First of all talking about the leg space I want to tell you that this car wont have enough space which it should must contain you ...,1,2
126,                                        Hey friends today i'm going to share my personal expirence with Nissan world famous automobile company. So we all know that nissan is the one of the best automobile company in world. Well Nissam sunny 2017 Vx cVT is a good car personally I loved it.It had a good and stylesh look ita mileage is g...,5,2
127,"                                        Hi guys,Today I am gonna review on Nissan Sunny Vx car.i bought this car about 6 months ago and got a really bad experience with this one.This car has many bugs which made me to review bad on this car.Guys, I notice that it requires more maintaince as compared to other cars in its pr...",2,2
128,                                        I didnt have cheerful execution of my Nissan Sunny at first I couldn't care less for their customer reinforce in light of the way that the trader made a lot of false claims regarding the my real uncovered to me that I would give a mileage around 15 to 18 kmpl however on roads it give around 7 to...,2,2
129,                                        As we all know that Nissan is one the best automobile company in India . It is specially famous for sport cars not for sedan . This car is very much big from outside but I think it is not so big from inside( features and real time specification) . The leg room is very bad it is very difficult fo...,2,2
130,                                        Hello friends today I am going to review Nissan Sunny 2017 XE edition. Friends this is the latest version of nissan's sunny car. But I want to tell you that not much has been changed in this car. The exteriors and looks are changed quite a bit and the car looks more dynamic now. But rest everyth...,2,2
